JOBNAME,PARENTJOBNAME,COMMENTS,PREDICESSOR_CHAIN
mmemsg_d_ev_emea_checkstart_box,mmemsg_d_ev_emea_start_box,schedule updated,mmemsg_d_ev_emea_checkstart_box-->mmemsg_d_ev_emea_start_box
mmbkp_d_ev_emea_backup_box,mmemsg_d_ev_emea_ro_box,schedule updated,mmbkp_d_ev_emea_backup_box-->mmemsg_d_ev_emea_ro_box
mmbkp_d_ev_emea_unmountclones_box,mmbkp_d_ev_emea_mountclones_box,schedule updated,mmbkp_d_ev_emea_unmountclones_box-->mmbkp_d_ev_emea_buclones_box-->mmbkp_d_ev_emea_mountclones_box
mmbkp_w_ev_emea_unmountclones_box,mmemsg_w_ev_emea_fw,parent job don't have schedule,mmbkp_w_ev_emea_unmountclones_box-->mmbkp_w_ev_emea_buclones_box-->mmbkp_w_ev_emea_mountclones_box-->mmbkp_w_ev_emea_backup_box-->mmemsg_w_ev_emea_fw
mmebkp_d_jrnev_emea_backup_box,mmemsg_d_jrnev_emea_ro_box,parent job don't have schedule,mmebkp_d_jrnev_emea_backup_box-->mmemsg_d_jrnev_emea_ro_box
mmbkp_w_sun_ev_emea_buclones_box,mmemsg_w_sun_ev_emea_ro_box,parent job don't have schedule,mmbkp_w_sun_ev_emea_buclones_box-->mmbkp_w_sun_ev_emea_mountclones_box-->mmbkp_w_sun_ev_emea_backup_box-->mmemsg_w_sun_ev_emea_ro_box
mmemsg_d_jrnev_emea_start_box,mmemsg_d_jrnev_emea_ro_box,parent job don't have schedule,mmemsg_d_jrnev_emea_start_box-->mmebkp_d_jrnev_emea_backup_box-->mmemsg_d_jrnev_emea_ro_box
mmebkp_w_jrnev_emea_backup_box,mmemsg_w_jrnev_emea_ro_box,parent job don't have schedule,mmebkp_w_jrnev_emea_backup_box-->mmemsg_w_jrnev_emea_ro_box
mmemsg_w_ev_emea_checkstart_box,mmmsg_w_ev_emea_start_box,job does not exists in current jil,mmemsg_w_ev_emea_checkstart_box-->mmmsg_w_ev_emea_start_box
mmemsg_w_jrnev_emea_start_box,mmemsg_w_jrnev_emea_ro_box,parent job don't have schedule,mmemsg_w_jrnev_emea_start_box-->mmebkp_w_jrnev_emea_backup_box-->mmemsg_w_jrnev_emea_ro_box
mmbkp_d_ev_emea_buclones_box,mmbkp_d_ev_emea_mountclones_box,schedule updated,mmbkp_d_ev_emea_buclones_box-->mmbkp_d_ev_emea_mountclones_box
mmemsg_w_ev_emea_exe_index3_resetarchive,mmbkp_w_ev_emea_exe_index3_refreshclone,parent job don't have schedule,mmemsg_w_ev_emea_exe_index3_resetarchive-->mmbkp_w_ev_emea_exe_index3_refreshclone
mmemsg_w_ev_emea_exe_index4_resetarchive,mmbkp_w_ev_emea_exe_index4_refreshclone,parent job don't have schedule,mmemsg_w_ev_emea_exe_index4_resetarchive-->mmbkp_w_ev_emea_exe_index4_refreshclone
mmemsg_w_ev_emea_bed_index4_resetarchive,mmbkp_w_ev_emea_bed_index4_refreshclone,parent job don't have schedule,mmemsg_w_ev_emea_bed_index4_resetarchive-->mmbkp_w_ev_emea_bed_index4_refreshclone
mmemsg_w_ev_emea_bed_index5_resetarchive,mmbkp_w_ev_emea_bed_index5_refreshclone,parent job don't have schedule,mmemsg_w_ev_emea_bed_index5_resetarchive-->mmbkp_w_ev_emea_bed_index5_refreshclone
mmemsg_w_ev_emea_bed_index6_resetarchive,mmbkp_w_ev_emea_bed_index6_refreshclone,parent job don't have schedule,mmemsg_w_ev_emea_bed_index6_resetarchive-->mmbkp_w_ev_emea_bed_index6_refreshclone
mmemsg_w_ev_emea_exe_index5_resetarchive,mmbkp_w_ev_emea_exe_index5_refreshclone,parent job don't have schedule,mmemsg_w_ev_emea_exe_index5_resetarchive-->mmbkp_w_ev_emea_exe_index5_refreshclone
mmemsg_w_ev_emea_bed_index7_resetarchive,mmbkp_w_ev_emea_bed_index7_refreshclone,parent job don't have schedule,mmemsg_w_ev_emea_bed_index7_resetarchive-->mmbkp_w_ev_emea_bed_index7_refreshclone
mmbkp_w_ev_emea_backup_box,mmemsg_w_ev_emea_fw,parent job don't have schedule,mmbkp_w_ev_emea_backup_box-->mmemsg_w_ev_emea_fw
mmemsg_w_ev_emea_start_box,mmemsg_w_ev_emea_fw,parent job don't have schedule,mmemsg_w_ev_emea_start_box-->mmbkp_w_ev_emea_backup_box-->mmemsg_w_ev_emea_fw
mmbkp_w_sun_ev_emea_mountclones_box,mmemsg_w_sun_ev_emea_ro_box,parent job don't have schedule,mmbkp_w_sun_ev_emea_mountclones_box-->mmbkp_w_sun_ev_emea_backup_box-->mmemsg_w_sun_ev_emea_ro_box
mmbkp_w_sun_ev_emea_unmountclones_box,mmemsg_w_sun_ev_emea_ro_box,parent job don't have schedule,mmbkp_w_sun_ev_emea_unmountclones_box-->mmbkp_w_sun_ev_emea_buclones_box-->mmbkp_w_sun_ev_emea_mountclones_box-->mmbkp_w_sun_ev_emea_backup_box-->mmemsg_w_sun_ev_emea_ro_box
mmbkp_w_ev_emea_mountclones_box,mmemsg_w_ev_emea_fw,parent job don't have schedule,mmbkp_w_ev_emea_mountclones_box-->mmbkp_w_ev_emea_backup_box-->mmemsg_w_ev_emea_fw
mmbkp_w_ev_emea_buclones_box,mmemsg_w_ev_emea_fw,parent job don't have schedule,mmbkp_w_ev_emea_buclones_box-->mmbkp_w_ev_emea_mountclones_box-->mmbkp_w_ev_emea_backup_box-->mmemsg_w_ev_emea_fw
mmemsg_w_sun_ev_emea_checkstart_box,mmmsg_w_sun_ev_emea_start_box,job does not exists in current jil,mmemsg_w_sun_ev_emea_checkstart_box-->mmmsg_w_sun_ev_emea_start_box
mmbkp_w_sun_ev_emea_backup_box,mmemsg_w_sun_ev_emea_ro_box,parent job don't have schedule,mmbkp_w_sun_ev_emea_backup_box-->mmemsg_w_sun_ev_emea_ro_box
mmemsg_w_sun_ev_emea_start_box,mmemsg_w_sun_ev_emea_ro_box,parent job don't have schedule,mmemsg_w_sun_ev_emea_start_box-->mmbkp_w_sun_ev_emea_backup_box-->mmemsg_w_sun_ev_emea_ro_box
